layer,head,label,io_attn,s_attn,io_dla,s_dla,io_dla_minus_s_dla,role,acc_ablated,acc_drop,copying_score,top_promoted
1,20,L1H20,0.0435,0.0948,0.004,0.004,0.001,S-Promoter,0.9929789368104313,0.0,0.0642,"['shaw', 'occurrences', 'każ', '(pad', 'šk']"
1,22,L1H22,0.0,0.0,-0.001,-0.002,0.001,Neg-IO-Mover,0.9929789368104313,0.0,-2.3549,"['l', 'bear', 'late', 'otta', '']"
2,27,L2H27,0.0175,0.0237,-0.0,0.001,-0.001,S-Promoter,0.9929789368104313,0.0,-0.0559,"['swagen', '리고', 'uzzi', 'أن', 'horia']"
2,29,L2H29,0.0,0.0,-0.001,-0.001,0.0,S-Inhibitor,0.9939819458375125,-0.0010030090270812808,-0.7174,"['l', 'ery', 'slot', 'aller', '-model']"
4,13,L4H13,0.1319,0.3039,-0.009,-0.021,0.012,S-Inhibitor,0.9919759277833501,0.0010030090270811698,-0.1007,"['.trailing', 'aption', 'adele', 'Gentle', 'rase']"
4,16,L4H16,0.0001,0.0001,0.001,-0.0,0.001,S-Inhibitor,0.9929789368104313,0.0,-0.4023,"['entlich', 'OST', 'afort', '�', 'šel']"
5,4,L5H4,0.0006,0.001,-0.004,-0.007,0.003,S-Inhibitor,0.9939819458375125,-0.0010030090270812808,-0.5467,"['ären', 'andid', 'roll', 'меш', 'bear']"
5,8,L5H8,0.002,0.0058,-0.006,-0.007,0.001,S-Inhibitor,0.9929789368104313,0.0,-0.9441,"['ẩm', 'disrupted', 'ーニ', 'jer', 'jack']"
5,10,L5H10,0.0003,0.0013,0.009,0.01,-0.001,S-Promoter,0.9919759277833501,0.0010030090270811698,0.3724,"['ю', 'yyy', 'yyyy', 'ero', 'cars']"
6,8,L6H8,0.0001,0.0001,0.009,0.003,0.006,IO-Mover,0.9929789368104313,0.0,-0.9183,"['halo', 'cumulative', '�', 'kurz', 'umm']"
8,17,L8H17,0.0007,0.0014,-0.004,-0.004,0.0,S-Inhibitor,0.9919759277833501,0.0010030090270811698,3.5421,"['Extern', 'ереж', 'Tout', 'belt', 'sider']"
8,19,L8H19,0.0,0.0001,-0.008,-0.006,-0.002,S-Inhibitor,0.9919759277833501,0.0010030090270811698,3.9948,"['лян', 'Fetish', 'Blues', '.arm', 'iei']"
8,30,L8H30,0.0399,0.0683,0.002,0.0,0.002,S-Promoter,0.9909729187562688,0.0020060180541624506,-0.5901,"['ateg', 'subclass', 'pre', 'absol', 'bas']"
9,16,L9H16,0.1192,0.5639,0.003,0.034,-0.032,S-Promoter,0.9929789368104313,0.0,-0.9276,"['ex', 'ex', 'personal', 'Black', 'Ex']"
