2026-03-26 15:39:50,423 INFO    MainThread:2991310 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-26 15:39:50,424 INFO    MainThread:2991310 [wandb_setup.py:_flush():81] Configure stats pid to 2991310
2026-03-26 15:39:50,424 INFO    MainThread:2991310 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-26 15:39:50,424 INFO    MainThread:2991310 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/exouser/circuit_pruning/wandb/run-20260326_153950-hvwi5plo/logs/debug.log
2026-03-26 15:39:50,424 INFO    MainThread:2991310 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/exouser/circuit_pruning/wandb/run-20260326_153950-hvwi5plo/logs/debug-internal.log
2026-03-26 15:39:50,424 INFO    MainThread:2991310 [wandb_init.py:init():844] calling init triggers
2026-03-26 15:39:50,424 INFO    MainThread:2991310 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'model': 'meta-llama/Llama-3.2-1B', 'kl_budget': 0.6, 'kl_tolerance': 0.05, 'initial_lambda': 1.0, 'min_lambda': 0.001, 'lambda_add_inc': 0.05, 'lambda_mult_dec': 0.75, 'use_task_loss': True, 'task_lambda': 1.0, 'base_lr': 0.001, 'batch_size': 32, 'flash_attention': False, 'adaptive_lr': True, 'component_adaptation': True, '_wandb': {}}
2026-03-26 15:39:50,424 INFO    MainThread:2991310 [wandb_init.py:init():892] starting backend
2026-03-26 15:39:50,643 INFO    MainThread:2991310 [wandb_init.py:init():895] sending inform_init request
2026-03-26 15:39:50,646 INFO    MainThread:2991310 [wandb_init.py:init():903] backend started and connected
2026-03-26 15:39:50,647 INFO    MainThread:2991310 [wandb_init.py:init():973] updated telemetry
2026-03-26 15:39:50,652 INFO    MainThread:2991310 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-26 15:39:51,383 INFO    MainThread:2991310 [wandb_init.py:init():1042] starting run threads in backend
2026-03-26 15:39:51,488 INFO    MainThread:2991310 [wandb_run.py:_console_start():2524] atexit reg
2026-03-26 15:39:51,488 INFO    MainThread:2991310 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-26 15:39:51,488 INFO    MainThread:2991310 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-26 15:39:51,488 INFO    MainThread:2991310 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-26 15:39:51,491 INFO    MainThread:2991310 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-26 15:40:00,658 INFO    wandb-AsyncioManager-main:2991310 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-26 15:40:00,658 INFO    wandb-AsyncioManager-main:2991310 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
